,code,product_name,countries,nutrition_grade_fr,pnns_groups_1,pnns_groups_2,energy_100g,sugars_100g,nutrition-score-fr_100g
204348,3245414653016,"12 Petits Suisses (10,4 % MG)",en:FR,b,Milk and dairy products,Dairy desserts,585.0,3.5,2.0
204355,3245414658769,Tiramisu (4 pots) 360 g - Carrefour,en:FR,d,Milk and dairy products,Dairy desserts,1050.0,21.0,14.0
204473,3247770001159,N'oubliez pas…,en:FR,e,Sugary snacks,Biscuits and cakes,2020.0,24.7,20.0
204474,3247770002484,Assortiment de biscuits d'Alsace,en:FR,d,Sugary snacks,Biscuits and cakes,1980.0,24.0,18.0
204488,3248340000527,Jus De Fruit Brick Helior Pomme,en:FR,c,Beverages,Fruit juices,180.0,9.7,3.0
204489,3248340000541,Nectar de 13 fruits,en:FR,d,Beverages,Fruit nectars,106.0,5.7,6.0
204491,3248340018959,Nectar multifruits,en:FR,d,Beverages,Fruit nectars,103.0,5.5,8.0
204493,3248340023199,Orange,en:FR,c,Beverages,Fruit juices,203.0,11.0,5.0
204495,3248340033006,100 % pur jus pasteurisé multifruits,en:FR,c,Beverages,Fruit juices,217.0,11.0,5.0
204496,3248340033013,100 % pur jus pasteurisé pomme trouble,en:FR,c,Beverages,Fruit juices,179.0,9.7,3.0
204504,3248340047867,"3 fruits, 100 % pur fruit pressé",en:FR,d,Beverages,Fruit juices,236.0,13.0,7.0
204506,3248340047898,Multifruits,en:FR,d,Beverages,Fruit nectars,159.0,8.75,8.0
204507,3248340047904,"Multi enrichi en vitamines B1, B9, B6, C et A",en:FR,d,Beverages,Fruit nectars,103.0,5.5,6.0
204508,3248340047911,"Multi enrichi en vitamines B1, B9, B6, C et A",en:FR,d,Beverages,Fruit nectars,103.0,5.5,6.0
204509,3248340050386,Multi Fruits 100% pur fruit,en:FR,c,Beverages,Fruit juices,201.0,10.9,5.0
204580,3248650030269,Gaufrettes Fourrées Praliné,en:FR,e,Sugary snacks,Biscuits and cakes,2141.0,34.0,19.0
204597,3248650072207,Corn Flakes,en:FR,c,Cereals and potatoes,Breakfast cereals,1584.0,7.0,7.0
204609,3248650126986,Crème dessert saveur chocolat au lait entier,en:FR,c,Milk and dairy products,Dairy desserts,511.0,15.0,4.0
204613,3248650133540,Gaufrettes Enrobées Chocolat,en:FR,e,Sugary snacks,Biscuits and cakes,2224.0,37.0,20.0
204621,3248650171689,Cookies Nougatine Aux Pépites de Chocolat,en:FR,e,Sugary snacks,Biscuits and cakes,2141.0,33.0,24.0
204629,3248650201195,Céréales fourrées chocolat,en:FR,d,Cereals and potatoes,Breakfast cereals,1983.0,32.0,15.0
204632,3248650201836,Tortina Noisette et Chocolat au Lait,en:FR,e,Sugary snacks,Biscuits and cakes,2310.0,38.0,20.0
204637,3248650211996,Cuillers aux œufs frais,en:FR,d,Sugary snacks,Biscuits and cakes,1557.0,45.0,14.0
204644,3248652710206,Premium 100% Jus d'orange,en:FR,c,Beverages,Fruit juices,184.0,10.0,4.0
204646,3248652717588,Biscuits cœur au chocolat croustillants,en:FR,d,Sugary snacks,Biscuits and cakes,2051.0,37.0,14.0
204649,3248652745260,Meringués aux noisettes sur lit de chocolat au lait,en:FR,e,Sugary snacks,Biscuits and cakes,2219.0,46.0,27.0
204651,3248652765183,Chocolat noir pâtissier dessert,en:FR,e,Sugary snacks,Chocolate products,2179.0,48.0,21.0
204652,3248652786133,Pâte à tartiner Noisettes,en:FR,d,Sugary snacks,Sweets,2244.0,55.0,16.0
204654,3248652918459,Premium 100% jus d'orange sanguine,en:FR,c,Beverages,Fruit juices,188.0,10.5,4.0
204666,3248653244397,Langues de chat,en:FR,d,Sugary snacks,Biscuits and cakes,1842.0,45.0,18.0
204667,3248653286649,Cookies chocolat aux pépites de chocolat,en:FR,e,Sugary snacks,Biscuits and cakes,2128.0,33.0,23.0
204676,3248654719238,Crème caramel,en:FR,c,Milk and dairy products,Dairy desserts,599.0,18.0,4.0
204682,3248710510106,La Gazouz Blanche,en:FR,e,Beverages,Sweetened beverages,173.0,10.2,13.0
204756,3248830692126,Perles de coco,en:FR,c,Sugary snacks,Biscuits and cakes,1118.0,14.0,3.0
204847,3249290001596,Liger Cola,en:FR,e,Beverages,Sweetened beverages,185.0,10.9,15.0
204860,3249760000081,Orangina,en:FR,e,Beverages,Sweetened beverages,179.0,10.2,13.0
